Ptt,File,Deploy_ID,age_class_DB,sex,Agency,stock,region,sitename,instrument,datetime,DryTime,latitude,longitude,argos_class,GMT
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/1/2011 23:49,0,51.315,-178.982,3,11/1/2011 23:49
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 0:10,1,51.33,-178.963,1,11/2/2011 0:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 1:12,0,51.347,-178.931,2,11/2/2011 1:12
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 1:56,0,51.34,-178.922,2,11/2/2011 1:56
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 2:01,0,51.343,-178.917,A,11/2/2011 2:01
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 2:57,0,51.355,-178.901,2,11/2/2011 2:57
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 3:42,0,51.373,-178.949,1,11/2/2011 3:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 5:23,0,51.458,-178.98,1,11/2/2011 5:23
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 7:10,0,51.547,-179.131,0,11/2/2011 7:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/2/2011 8:12,0,51.605,-179.153,1,11/2/2011 8:12
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 2:50,1,51.57,-179.042,1,11/3/2011 2:50
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 3:19,1,51.57,-179.036,3,11/3/2011 3:19
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 4:39,1,51.566,-179.021,A,11/3/2011 4:39
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 4:59,1,51.569,-179.032,3,11/3/2011 4:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 5:04,1,51.569,-179.035,3,11/3/2011 5:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 14:01,0,51.577,-178.934,2,11/3/2011 14:01
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 15:05,0,51.591,-178.875,1,11/3/2011 15:05
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 15:38,0,51.582,-178.817,A,11/3/2011 15:38
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 17:06,0,51.579,-178.874,0,11/3/2011 17:06
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/3/2011 20:14,0,51.575,-178.815,A,11/3/2011 20:14
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 2:37,1,51.577,-178.862,3,11/4/2011 2:37
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 2:54,0,51.574,-178.864,3,11/4/2011 2:54
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 4:37,1,51.573,-178.857,3,11/4/2011 4:37
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 4:42,1,51.572,-178.856,B,11/4/2011 4:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 8:04,0,51.58,-178.832,A,11/4/2011 8:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 9:33,0,51.56,-178.829,B,11/4/2011 9:33
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 14:48,0,51.565,-178.814,B,11/4/2011 14:48
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 16:31,0,51.576,-178.864,3,11/4/2011 16:31
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/4/2011 16:37,0,51.574,-178.865,3,11/4/2011 16:37
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 2:20,0,51.574,-178.851,3,11/5/2011 2:20
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 2:30,0,51.572,-178.868,3,11/5/2011 2:30
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 3:07,0,51.567,-178.859,B,11/5/2011 3:07
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 4:03,0,51.576,-178.854,3,11/5/2011 4:03
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 4:09,0,51.577,-178.857,A,11/5/2011 4:09
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 4:19,0,51.582,-178.881,2,11/5/2011 4:19
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 5:58,0,51.579,-178.832,2,11/5/2011 5:58
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 9:10,0,51.546,-178.824,2,11/5/2011 9:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 11:58,0,51.548,-178.817,B,11/5/2011 11:58
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 14:42,0,51.574,-178.9,A,11/5/2011 14:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/5/2011 15:17,0,51.58,-178.867,3,11/5/2011 15:17
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 2:04,1,51.589,-178.844,B,11/6/2011 2:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 2:59,0,51.572,-178.878,B,11/6/2011 2:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 5:34,0,51.574,-178.878,1,11/6/2011 5:34
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 5:37,0,51.571,-178.881,B,11/6/2011 5:37
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 5:46,0,51.578,-178.865,A,11/6/2011 5:46
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 8:53,0,51.55,-178.822,1,11/6/2011 8:53
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/6/2011 14:27,0,51.541,-178.829,B,11/6/2011 14:27
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 2:07,0,51.551,-178.823,B,11/7/2011 2:07
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 2:43,0,51.581,-178.866,A,11/7/2011 2:43
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 3:21,0,51.574,-178.869,2,11/7/2011 3:21
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 5:02,0,51.568,-178.831,2,11/7/2011 5:02
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 5:34,0,51.559,-178.83,2,11/7/2011 5:34
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 8:31,0,51.575,-178.844,B,11/7/2011 8:31
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 8:54,1,51.575,-178.848,B,11/7/2011 8:54
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/7/2011 10:14,0,51.576,-178.853,B,11/7/2011 10:14
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 9:51,1,51.572,-179.054,3,11/8/2011 9:51
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 14:05,0,51.566,-179.03,3,11/8/2011 14:05
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 14:43,0,51.588,-179.048,1,11/8/2011 14:43
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 15:05,0,51.588,-179.055,A,11/8/2011 15:05
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 16:44,0,51.573,-179.086,B,11/8/2011 16:44
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 20:28,0,51.567,-179.053,1,11/8/2011 20:28
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 20:55,0,51.573,-179.047,2,11/8/2011 20:55
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 21:53,1,51.583,-179.036,B,11/8/2011 21:53
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/8/2011 22:38,1,51.598,-179.019,B,11/8/2011 22:38
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 2:32,1,51.57,-179.033,3,11/9/2011 2:32
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 4:13,1,51.57,-179.036,3,11/9/2011 4:13
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 5:10,1,51.575,-179.028,2,11/9/2011 5:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 5:56,1,51.574,-179.028,B,11/9/2011 5:56
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 20:07,1,51.582,-178.987,B,11/9/2011 20:07
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 20:50,1,51.567,-179.018,A,11/9/2011 20:50
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 21:30,1,51.571,-179.025,A,11/9/2011 21:30
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 21:42,1,51.573,-179.037,2,11/9/2011 21:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 22:25,1,51.572,-179.022,B,11/9/2011 22:25
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 22:50,1,51.568,-179.026,2,11/9/2011 22:50
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/9/2011 23:23,1,51.568,-179.025,B,11/9/2011 23:23
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 2:08,0,51.565,-179.035,B,11/10/2011 2:08
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 3:50,0,51.569,-179.021,0,11/10/2011 3:50
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 4:58,0,51.568,-179.037,A,11/10/2011 4:58
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 5:30,0,51.569,-179.036,B,11/10/2011 5:30
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 5:40,0,51.567,-179.038,2,11/10/2011 5:40
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 5:53,0,51.575,-179.042,B,11/10/2011 5:53
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 21:11,0,51.579,-179.041,3,11/10/2011 21:11
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 21:22,0,51.581,-179.037,2,11/10/2011 21:22
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 22:12,0,51.582,-179.047,A,11/10/2011 22:12
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 22:38,0,51.581,-179.044,B,11/10/2011 22:38
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 22:57,0,51.585,-179.055,2,11/10/2011 22:57
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/10/2011 23:38,0,51.584,-179.049,B,11/10/2011 23:38
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 2:00,0,51.576,-179.045,A,11/11/2011 2:00
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 2:59,0,51.578,-179.047,B,11/11/2011 2:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 3:21,0,51.581,-179.058,2,11/11/2011 3:21
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 4:49,0,51.581,-179.062,B,11/11/2011 4:49
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 5:09,0,51.58,-179.058,2,11/11/2011 5:09
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 8:48,0,51.688,-179.366,B,11/11/2011 8:48
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 10:31,0,51.734,-179.542,B,11/11/2011 10:31
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 15:30,0,51.945,-179.91,B,11/11/2011 15:30
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 16:01,0,51.974,-179.923,B,11/11/2011 16:01
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 17:11,0,51.991,-179.924,B,11/11/2011 17:11
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/11/2011 20:46,0,52.213,-179.87,A,11/11/2011 20:46
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 2:55,0,52.444,179.859,A,11/12/2011 2:55
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 4:54,0,52.367,179.864,0,11/12/2011 4:54
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 5:12,0,52.366,179.864,B,11/12/2011 5:12
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 8:28,0,52.261,179.866,B,11/12/2011 8:28
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 10:12,0,52.293,179.886,B,11/12/2011 10:12
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 14:02,0,52.24,179.718,0,11/12/2011 14:02
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 15:08,0,52.197,179.663,B,11/12/2011 15:08
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/12/2011 16:43,0,52.127,179.68,2,11/12/2011 16:43
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 2:39,1,51.935,179.748,2,11/13/2011 2:39
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 4:10,1,51.949,179.768,1,11/13/2011 4:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 8:07,1,51.968,179.876,B,11/13/2011 8:07
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 13:59,1,51.94,179.796,1,11/13/2011 13:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 14:40,1,51.941,179.794,B,11/13/2011 14:40
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/13/2011 14:51,1,51.95,179.76,3,11/13/2011 14:51
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 2:29,1,51.998,179.821,B,11/14/2011 2:29
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 3:52,0,51.954,179.767,A,11/14/2011 3:52
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 4:06,0,51.956,179.792,B,11/14/2011 4:06
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 5:46,0,51.942,179.783,B,11/14/2011 5:46
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 9:29,0,51.974,-179.974,B,11/14/2011 9:29
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 14:44,0,51.657,-179.72,A,11/14/2011 14:44
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 16:20,0,51.59,-179.547,A,11/14/2011 16:20
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/14/2011 17:51,0,51.674,-179.52,B,11/14/2011 17:51
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 2:19,1,51.569,-179.022,2,11/15/2011 2:19
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 3:28,1,51.569,-179.037,3,11/15/2011 3:28
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 5:08,1,51.581,-179.017,1,11/15/2011 5:08
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 5:21,0,51.585,-179.054,B,11/15/2011 5:21
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 5:42,0,51.585,-179.054,B,11/15/2011 5:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 8:44,0,51.575,-179.022,B,11/15/2011 8:44
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 8:59,0,51.583,-179.011,B,11/15/2011 8:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 14:37,1,51.571,-179.037,3,11/15/2011 14:37
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/15/2011 15:41,1,51.571,-179.024,B,11/15/2011 15:41
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 2:10,1,51.611,-178.893,B,11/16/2011 2:10
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 3:04,0,51.572,-179.036,A,11/16/2011 3:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 4:43,0,51.562,-179.029,1,11/16/2011 4:43
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 4:59,0,51.562,-179.031,0,11/16/2011 4:59
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 5:29,0,51.562,-179.031,B,11/16/2011 5:29
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 8:19,0,51.564,-179.067,3,11/16/2011 8:19
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 8:44,0,51.569,-179.062,B,11/16/2011 8:44
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 10:27,0,51.559,-179.088,B,11/16/2011 10:27
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 14:20,0,51.561,-179.074,B,11/16/2011 14:20
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 15:05,0,51.557,-179.07,B,11/16/2011 15:05
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/16/2011 16:06,0,51.553,-179.067,B,11/16/2011 16:06
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 2:42,0,51.56,-179.067,2,11/17/2011 2:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 4:18,0,51.57,-179.069,B,11/17/2011 4:18
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 5:15,1,51.571,-179.072,B,11/17/2011 5:15
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 8:27,0,51.565,-179.069,B,11/17/2011 8:27
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 10:04,0,51.564,-179.069,B,11/17/2011 10:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 11:31,1,51.591,-179.025,1,11/17/2011 11:31
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 14:09,1,51.572,-179.032,3,11/17/2011 14:09
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 14:56,1,51.572,-179.029,3,11/17/2011 14:56
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 15:55,1,51.566,-179.031,B,11/17/2011 15:55
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/17/2011 16:26,1,51.566,-179.046,A,11/17/2011 16:26
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 5:04,0,51.596,-179.173,B,11/18/2011 5:04
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 8:01,0,51.58,-179.082,2,11/18/2011 8:01
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 8:24,0,51.588,-179.07,B,11/18/2011 8:24
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 14:01,0,51.567,-179.034,2,11/18/2011 14:01
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 14:22,0,51.567,-179.034,B,11/18/2011 14:22
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 14:45,0,51.572,-179.034,3,11/18/2011 14:45
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 15:42,0,51.572,-179.037,A,11/18/2011 15:42
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 15:58,0,51.57,-179.033,3,11/18/2011 15:58
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 16:25,0,51.577,-179.044,B,11/18/2011 16:25
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 17:41,0,51.568,-179.028,A,11/18/2011 17:41
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 20:13,0,51.552,-179.078,1,11/18/2011 20:13
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/18/2011 20:35,0,51.586,-179.089,0,11/18/2011 20:35
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 2:20,1,51.555,-179.033,B,11/19/2011 2:20
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 3:25,0,51.547,-179.056,B,11/19/2011 3:25
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 4:50,0,51.559,-179.079,A,11/19/2011 4:50
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 5:06,0,51.532,-179.066,B,11/19/2011 5:06
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 8:17,0,51.557,-179.068,A,11/19/2011 8:17
35224,Argos,14809,A,F,NMML,wDPS,CAI,ULAK/HASGOX POINT,SPLASH10,11/19/2011 9:24,0,51.576,-179.092,A,11/19/2011 9:24
